重庆,#genre#
重庆卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000001096/5.m3u8
重庆卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000001096/1.m3u8
重庆新闻高清(NO EPG),https://live.mxdyeah.top/live.php?id=CQTVNewsHD
重庆新闻高清(NO EPG),http://113.248.98.88:9999/rtp/235.254.196.199:7980
重庆新闻高清(NO EPG),http://125.82.168.238:8888/rtp/235.254.196.199:7980 $电信1
重庆影视高清(NO EPG),http://113.248.98.88:9999/rtp/235.254.198.180:7980
重庆影视高清(NO EPG),https://live.mxdyeah.top/live.php?id=cqyingshiHD
重庆影视高清(NO EPG),http://n1.dddmmh.space:8088/udp/225.0.4.192:7980 $联通
重庆社会与法高清(NO EPG),https://live.mxdyeah.top/live.php?id=CQTVTrendyHD
重庆社会与法高清(NO EPG),http://125.82.168.238:8888/rtp/235.254.198.181:7980
重庆社会与法高清(NO EPG),http://113.248.98.88:9999/rtp/235.254.198.181:7980
重庆社会与法高清(NO EPG),http://125.82.168.238:8888/rtp/235.254.196.210:1112
重庆社会与法高清(NO EPG),http://27.10.76.212:8004/udp/225.0.4.190:7980
重庆社会与法高清(NO EPG),http://n1.dddmmh.space:8088/udp/225.0.4.190:7980 $联通
重庆时尚生活高清(NO EPG),https://live.mxdyeah.top/live.php?id=cqssgwHD
重庆文体娱乐高清(NO EPG),https://live.mxdyeah.top/live.php?id=cqwtylHD
重庆新农村高清(NO EPG),https://live.mxdyeah.top/live.php?id=cqggncHD
重庆少儿高清(NO EPG),https://live.mxdyeah.top/live.php?id=cqseHD
重庆少儿高清(NO EPG),http://n1.dddmmh.space:8088/udp/225.0.4.191:7980 $联通
重庆科教高清(NO EPG),https://live.mxdyeah.top/live.php?id=CQTVkejiaoHD
重庆科教高清(NO EPG),http://n1.dddmmh.space:8088/udp/225.0.4.193:7980 $联通
重庆汽摩高清(NO EPG),https://live.mxdyeah.top/live.php?id=cqcarSD
重庆移动高清(NO EPG),https://live.mxdyeah.top/live.php?id=mryyHD
港澳台中视购物(NO EPG),https://live.mxdyeah.top/live.php?id=ysgw

央视,#genre#
CCTV1,https://live.mxdyeah.top/live.php?id=cctv1HD
CCTV2,https://live.mxdyeah.top/live.php?id=cctv2HD
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225588/index.m3u8
CCTV3,https://live.mxdyeah.top/live.php?id=cctv3HD
CCTV4,https://live.mxdyeah.top/live.php?id=cctv4HD
CCTV5,https://live.mxdyeah.top/live.php?id=cctv5HD
CCTV5+,https://live.mxdyeah.top/live.php?id=cctv5SportHD
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225603/index.m3u8
CCTV6,https://live.mxdyeah.top/live.php?id=cctv6HD
CCTV6,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8
CCTV6,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728804b1f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdazJhFQmuq4XUiks9ZrIlJN%2BknLs8H%2BSxcDXy%2BTesEc8Q0KCN89MjYoj85Sol1kbKI4
CCTV7,https://live.mxdyeah.top/live.php?id=cctv7HD
CCTV8,https://live.mxdyeah.top/live.php?id=cctv8HD
CCTV9,https://live.mxdyeah.top/live.php?id=cctv9HD
CCTV10,https://live.mxdyeah.top/live.php?id=cctv10HD
CCTV11,https://live.mxdyeah.top/live.php?id=cctv11HD
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225597/index.m3u8
CCTV12,https://live.mxdyeah.top/live.php?id=cctv12HD
CCTV13,https://live.mxdyeah.top/live.php?id=CCTVNewsHD
CCTV13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8 $hainan-5e00-1e
CCTV13,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000516/index.m3u8?IAS $hainan-5e01-20
CCTV13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8 $HLJ-1a01-7005
CCTV13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8 $HLJ-1a01-7005
CCTV13,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226571/index.m3u8
CCTV13,http://php.jdshipin.com:8880/TVOD/hnyd.php?id=00000001000000060000000000000516
CCTV14,https://live.mxdyeah.top/live.php?id=cctvseHD
CCTV15,https://live.mxdyeah.top/live.php?id=cctv15HD
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225601/index.m3u8
CCTV16,https://live.mxdyeah.top/live.php?id=cctv16HD
CCTV17,https://live.mxdyeah.top/live.php?id=cctv17HD
CGTN,https://live.mxdyeah.top/live.php?id=cgtnSD
CGTN纪录[1920x1080],http://php.jdshipin.com:8880/TVOD/hnyd.php?id=00000001000000060000000000000528
第一剧场高清(NO EPG),https://live.mxdyeah.top/live.php?id=diyijuchangHD
风云剧场高清(NO EPG),https://live.mxdyeah.top/live.php?id=fyjcHD
兵器科技高清(NO EPG),https://live.mxdyeah.top/live.php?id=bqkjHD
兵器科技高清(NO EPG),http://n1.dddmmh.space:8088/udp/225.0.4.223:7980 $重庆联通dddmmh
怀旧剧场高清(NO EPG),https://live.mxdyeah.top/live.php?id=hjjcHD
风云音乐高清(NO EPG),https://live.mxdyeah.top/live.php?id=fyyyHD
风云音乐高清(NO EPG),http://nas.tuyuannet.cn:8800/rtp/239.37.0.081:5540 $吉林电信tuyuannet
央视台球高清(NO EPG),https://live.mxdyeah.top/live.php?id=ystqHD
央视台球高清(NO EPG),http://nas.tuyuannet.cn:8800/rtp/239.37.0.163:5540 $吉林电信tuyuannet
风云足球高清(NO EPG),https://live.mxdyeah.top/live.php?id=fyzqHD
央视文化精品高清(NO EPG),https://live.mxdyeah.top/live.php?id=yswhHD
高尔夫网球高清(NO EPG),https://live.mxdyeah.top/live.php?id=golfHD
女性时尚(NO EPG),https://live.mxdyeah.top/live.php?id=nvxing
中学生(NO EPG),https://live.mxdyeah.top/live.php?id=qicai
老故事(NO EPG),https://live.mxdyeah.top/live.php?id=gushi

卫视,#genre#
浙江卫视,https://live.mxdyeah.top/live.php?id=zhejiangHD
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225612/index.m3u8
江苏卫视,https://live.mxdyeah.top/live.php?id=jiangsuHD
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225613/index.m3u8
北京卫视,https://live.mxdyeah.top/live.php?id=beijingHD
东方卫视,https://live.mxdyeah.top/live.php?id=shanghaiHD
安徽卫视,https://live.mxdyeah.top/live.php?id=anhuiSD
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
广东卫视,https://live.mxdyeah.top/live.php?id=guangdongHD
深圳卫视,https://live.mxdyeah.top/live.php?id=shenzhenHD
辽宁卫视,https://live.mxdyeah.top/live.php?id=liaoningHD
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225619/index.m3u8
海南卫视,https://live.mxdyeah.top/live.php?id=hainanSD
天津卫视,https://live.mxdyeah.top/live.php?id=tianjinHD
重庆卫视,https://live.mxdyeah.top/live.php?id=chongqingHD
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225618/index.m3u8
东南卫视,https://live.mxdyeah.top/live.php?id=dongnanHD
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225620/index.m3u8
广西卫视,https://live.mxdyeah.top/live.php?id=guangxiHD
贵州卫视,https://live.mxdyeah.top/live.php?id=guizhouHD
河北卫视,https://live.mxdyeah.top/live.php?id=hebeiSD
黑龙江卫视,https://live.mxdyeah.top/live.php?id=heilongjiangHD
河南卫视,https://live.mxdyeah.top/live.php?id=henanHD
湖北卫视,https://live.mxdyeah.top/live.php?id=hubeiSD
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/223/3221225627/index.m3u8
湖北影视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380728abccd2/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNKU1xiiKGJYFBZK9RpEkaggogtHJZW6nJQqLppbEYE%2BqJ9kJW%2FMvKldfS2dCii9VSI
江西卫视,https://live.mxdyeah.top/live.php?id=jiangxiHD
吉林卫视,https://live.mxdyeah.top/live.php?id=jilinHD
内蒙古卫视,https://live.mxdyeah.top/live.php?id=neimengkuSD
宁夏卫视,https://live.mxdyeah.top/live.php?id=ningxia
山西卫视,https://live.mxdyeah.top/live.php?id=shanxiSD
云南卫视,https://live.mxdyeah.top/live.php?id=yunnanSD
卡酷动画,https://live.mxdyeah.top/live.php?id=bjkakuSD
金鹰卡通,https://live.mxdyeah.top/live.php?id=jinyingSD
西藏卫视,https://live.mxdyeah.top/live.php?id=xizangSD
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
三沙卫视,https://live.mxdyeah.top/live.php?id=sanshaSD
中国教育1台,https://live.mxdyeah.top/live.php?id=cetv-1SD
四川卫视高清(NO EPG),https://live.mxdyeah.top/live.php?id=sichuanHD
湖南卫视高清(NO EPG),https://live.mxdyeah.top/live.php?id=hunanHD
湖南经视[1047x576],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=6306119848317438256
湖南都市[1047x576],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=4682579636905393407
湖南电视剧[1024x576],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=8765482907954673867
湖南娱乐[1024x576],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=6427893650335440392
湖南国际[1024x576],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=5015828848322021526
兵团卫视(NO EPG),https://live.mxdyeah.top/live.php?id=bingtuanSD
青海卫视(NO EPG),https://live.mxdyeah.top/live.php?id=qinghaiSD
山东教育卫视(NO EPG),https://live.mxdyeah.top/live.php?id=sdjiaoyuSD

4K频道,#genre#
爱上4K,https://vip.taoiptv.cn/source/itv.php?id=华数4K.m3u8&sign=4t5lg3
纯享4K,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000011651/1.m3u8
爱上4K,http://113.248.98.88:9999/rtp/235.254.198.102:7980
欢笑剧场4K(NO EPG),https://live.mxdyeah.top/live.php?id=hxjc_4K
CCTV-4K(NO EPG),https://live.mxdyeah.top/live.php?id=CCTV4K
CCTV16-4K(NO EPG),https://live.mxdyeah.top/live.php?id=CCTV16_4K
咪咕体育4K[3840x2160],http://php.jdshipin.com:8880/itv6.php?cid=FifastbLive&id=3000000010000005180
咪咕体育4K-2[3840x1920],http://php.jdshipin.com:8880/itv6.php?cid=FifastbLive&id=3000000010000015686
北京IPTV4K[3840x2160],http://php.jdshipin.com:8880/TVOD/iptv.php?id=bj4k
广东4K超高清[3840x2160],http://php.jdshipin.com:8880/TVOD/iptv.php?id=gd4k
广州南国都市4K[3840x2160],http://php.jdshipin.com:8880/TVOD/iptv.php?id=ngds4k
欢笑剧场4K[3840x2160],http://php.jdshipin.com:8880/itv6s.php?cid=bestzb&id=5000000007000010001
欢笑剧场4K[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000009455
爱上4K[3840x2160],http://php.jdshipin.com:8880/TVOD/hnyd.php?id=00000001000000060000000000000459
爱上4K[3840x2160],http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
华数4K影视[3840x2160],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000014
苏州4K频道[3840x2160],http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
斗鱼4K影院[1920x1080],http://159.75.85.63:35455/douyu/9249162
纯享4K[3840x2160],http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000004000011651

电影频道,#genre#
CHC影迷电影,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002029/index.m3u8?IASHttpSessionId=
CHC家庭影院,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002028/index.m3u8?IASHttpSessionId=
CHC动作电影,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002030/index.m3u8?IASHttpSessionId=
重温经典[1920x1080],http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
黑莓电影[1920x1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓动画[1920x1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
CHC高清电影[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380764b172c9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNS8qWmEGeaUedzcFVVumqf9cm8lJoOcrIZueLbqOJTuoPV%2FwBk6CoHYGFV14SkLW04
CHC动作电影[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNSXQZMUEnZPBI3Y%2BI8ABE4PJC%2B6OvlZZw5ubC%2FbrIdxFJJY1CcAGU%2BYDDQV9oJ%2FVqQ
CHC家庭影院[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807601b19dd/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNRxu2SqX2RKsLT0S7AyQ8XopIVrD6IJGxdajeuKy4iZqZ4tkZuiEpwSRPszF6PIvg4
CHC影迷电影,http://www.hiliu.myds.me:8088/rtp/239.69.1.241:11088 $湖北电信
CHC动作电影,http://www.hiliu.myds.me:8088/rtp/239.69.1.242:11094 $湖北电信
CHC家庭影院,http://www.hiliu.myds.me:8088/rtp/239.69.1.243:11100 $湖北电信
CHC动作电影,http://nas.tuyuannet.cn:8800/rtp/239.37.0.186:5540 $吉林电信
CHC家庭影院,http://nas.tuyuannet.cn:8800/rtp/239.37.0.188:5540 $吉林电信
