央视,#genre#
CCTV1综合,http://192.168.20.4:80/iptv.php?id=cctv1
CCTV2财经,http://192.168.20.4:80/iptv.php?id=cctv2
CCTV3综艺,http://192.168.20.4:80/iptv.php?id=cctv3
CCTV4中文国际,http://192.168.20.4:80/iptv.php?id=cctv4
CCTV5体育,http://192.168.20.4:80/iptv.php?id=cctv5
CCTV5+体育赛事,http://192.168.20.4:80/iptv.php?id=cctv5p
CCTV6电影,http://192.168.20.4:80/iptv.php?id=cctv6
CCTV7国防军事,http://192.168.20.4:80/iptv.php?id=cctv7
CCTV8电视剧,http://192.168.20.4:80/iptv.php?id=cctv8
CCTV9纪录,http://192.168.20.4:80/iptv.php?id=cctv9
CCTV10科教,http://192.168.20.4:80/iptv.php?id=cctv10
CCTV11戏曲,http://192.168.20.4:80/iptv.php?id=cctv11
CCTV12社会与法,http://192.168.20.4:80/iptv.php?id=cctv12
CCTV13新闻,http://192.168.20.4:80/iptv.php?id=cctv13
CCTV14少儿,http://192.168.20.4:80/iptv.php?id=cctv14
CCTV15音乐,http://192.168.20.4:80/iptv.php?id=cctv15
CCTV16奥林匹克,http://192.168.20.4:80/iptv.php?id=cctv16
CCTV16奥林匹克4K,http://192.168.20.4:80/iptv.php?id=cctv16_4k
CCTV-4K,http://192.168.20.4:80/iptv.php?id=cctv4k
CCTV17农业农村,http://192.168.20.4:80/iptv.php?id=cctv17
CCTV兵器科技,http://192.168.20.4:80/iptv.php?id=bqkj
CCTV第一剧场,http://192.168.20.4:80/iptv.php?id=dyjc
CCTV怀旧剧场,http://192.168.20.4:80/iptv.php?id=hjjc
CCTV风云剧场,http://192.168.20.4:80/iptv.php?id=fyjc
CCTV风云音乐,http://192.168.20.4:80/iptv.php?id=fyyy
CCTV风云足球,http://192.168.20.4:80/iptv.php?id=fyzq
CCTV央视文化精品,http://192.168.20.4:80/iptv.php?id=whjp
CCTV女性时尚,http://192.168.20.4:80/iptv.php?id=nxss
CCTV高尔夫网球,http://192.168.20.4:80/iptv.php?id=gefwq
CCTV央视台球,http://192.168.20.4:80/iptv.php?id=ystq
中央新影-中学生,http://192.168.20.4:80/iptv.php?id=zxs
中央新影-发现之旅,http://192.168.20.4:80/iptv.php?id=fxzl
中央新影-老故事,http://192.168.20.4:80/iptv.php?id=lgs
重温经典,http://192.168.20.4:80/iptv.php?id=cwjd
书画,http://192.168.20.4:80/iptv.php?id=sh
中国天气,http://192.168.20.4:80/iptv.php?id=zgtq
CGTN,http://192.168.20.4:80/iptv.php?id=cgtn
重庆,#genre#
重庆新闻,http://192.168.20.4:80/iptv.php?id=cqxw
重庆科教,http://192.168.20.4:80/iptv.php?id=cqkj
重庆影视,http://192.168.20.4:80/iptv.php?id=cqys
重庆文体娱乐,http://192.168.20.4:80/iptv.php?id=cqwtyl
重庆少儿,http://192.168.20.4:80/iptv.php?id=cqse
